,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
72,saldanha,0.0,PT,2019-06-30 21:06:34,65.0,41.42,-6.55,22.95,3.98
73,ojinaga,1.0,US,2019-06-30 21:06:35,14.0,29.56,-104.41,37.0,5.1
74,carnarvon,100.0,ZA,2019-06-30 21:06:35,70.0,-30.97,22.13,7.55,8.7
75,georgetown,75.0,GY,2019-06-30 21:06:11,79.0,6.8,-58.16,29.0,6.2
76,ilulissat,75.0,GL,2019-06-30 21:04:28,80.0,69.22,-51.1,4.0,2.1
77,bronnoysund,75.0,NO,2019-06-30 21:06:35,93.0,65.46,12.2,12.0,10.8
78,ridgecrest,1.0,US,2019-06-30 21:06:35,7.0,35.62,-117.67,36.67,4.1
79,batemans bay,0.0,AU,2019-06-30 21:06:35,71.0,-35.71,150.18,5.0,1.79
80,kurchatov,0.0,KZ,2019-06-30 21:06:36,69.0,50.75,78.54,13.75,4.2
81,saskylakh,93.0,RU,2019-06-30 21:06:36,73.0,71.97,114.09,11.55,7.5
82,taoudenni,84.0,ML,2019-06-30 21:06:36,21.0,22.68,-3.98,36.05,5.96
83,bimbo,20.0,CF,2019-06-30 21:06:36,78.0,4.33,18.53,26.0,6.2
84,forbes,100.0,AU,2019-06-30 21:06:36,91.0,-33.38,148.01,2.78,2.7
85,muros,90.0,ES,2019-06-30 21:06:37,100.0,42.77,-9.06,20.56,3.6
86,ordzhonikidze,0.0,UA,2019-06-30 21:06:37,62.0,44.96,35.36,15.05,3.7
87,beruwala,100.0,LK,2019-06-30 21:06:37,80.0,6.48,79.98,28.55,8.25
88,hofn,39.0,IS,2019-06-30 21:06:37,87.0,64.25,-15.21,0.85,6.27
89,kavaratti,100.0,IN,2019-06-30 21:06:37,78.0,10.57,72.64,28.35,6.82
90,yellowknife,75.0,CA,2019-06-30 21:06:38,35.0,62.45,-114.38,13.0,11.3
92,byron bay,90.0,AU,2019-06-30 21:06:38,100.0,-28.65,153.62,16.0,2.34
93,maldonado,27.0,UY,2019-06-30 21:06:38,80.0,-34.91,-54.96,11.25,9.69
94,nouakchott,0.0,MR,2019-06-30 21:06:38,78.0,18.08,-15.98,23.0,6.2
95,leningradskiy,100.0,RU,2019-06-30 21:06:39,80.0,69.38,178.42,6.55,1.44
97,bogande,6.0,BF,2019-06-30 21:06:39,35.0,12.97,-0.14,33.85,3.64
98,mosquera,40.0,CO,2019-06-30 21:06:39,45.0,4.71,-74.23,19.0,4.1
99,bredasdorp,40.0,ZA,2019-06-30 21:06:39,93.0,-34.53,20.04,15.0,2.1
100,oranjestad,40.0,AW,2019-06-30 21:06:39,70.0,12.52,-70.03,30.0,11.3
101,clyde river,1.0,CA,2019-06-30 21:06:40,65.0,70.47,-68.59,8.0,4.6
103,qaanaaq,0.0,GL,2019-06-30 21:06:40,46.0,77.48,-69.36,10.65,0.6
104,cherskiy,100.0,RU,2019-06-30 21:06:40,90.0,68.75,161.3,3.55,2.44
105,buchanan,75.0,LR,2019-06-30 21:06:40,94.0,5.88,-10.05,25.0,2.1
106,east london,78.0,ZA,2019-06-30 21:06:41,18.0,-33.02,27.91,24.35,6.78
107,bambous virieux,75.0,MU,2019-06-30 21:06:41,73.0,-20.34,57.76,21.0,7.7
109,xai-xai,0.0,MZ,2019-06-30 21:06:41,74.0,-25.04,33.64,19.35,3.0
110,port alfred,0.0,ZA,2019-06-30 21:06:41,85.0,-33.59,26.89,16.11,7.66
111,chapais,40.0,CA,2019-06-30 21:06:42,56.0,49.78,-74.86,23.0,3.6
112,hammerfest,0.0,NO,2019-06-30 21:06:42,75.0,70.66,23.68,8.0,3.1
113,gitarama,40.0,RW,2019-06-30 21:06:42,56.0,-2.07,29.76,22.0,1.5
115,biloela,0.0,AU,2019-06-30 21:06:42,82.0,-24.4,150.51,11.35,2.11
116,weinan,0.0,CN,2019-06-30 21:06:42,100.0,34.5,109.46,17.0,0.3
117,huarmey,3.0,PE,2019-06-30 21:06:43,86.0,-10.07,-78.15,17.85,6.62
118,norman wells,75.0,CA,2019-06-30 21:06:43,41.0,65.28,-126.83,13.0,6.2
119,bathsheba,75.0,BB,2019-06-30 21:06:43,66.0,13.22,-59.52,30.0,12.3
120,cabedelo,75.0,BR,2019-06-30 21:06:43,94.0,-6.97,-34.84,25.0,4.1
121,tomatlan,2.0,MX,2019-06-30 21:06:43,63.0,19.93,-105.25,30.05,5.04
122,lebu,93.0,ET,2019-06-30 21:06:44,86.0,8.96,38.73,13.75,0.87
123,san felipe,0.0,CL,2019-06-30 21:06:44,99.0,-32.75,-70.73,12.22,1.06
124,teeli,100.0,RU,2019-06-30 21:06:44,88.0,51.01,90.2,11.15,1.24
125,laguna,75.0,BZ,2019-06-30 21:06:44,74.0,16.17,-88.94,30.0,3.1
126,farmington,1.0,US,2019-06-30 21:04:36,17.0,36.73,-108.21,34.0,5.1
127,gimli,0.0,CA,2019-06-30 21:06:45,56.0,50.63,-96.99,24.35,7.52
128,barrow,0.0,AR,2019-06-30 21:06:45,69.0,-38.31,-60.23,5.85,4.69
129,greenville,40.0,US,2019-06-30 21:06:45,46.0,34.85,-82.4,35.0,2.6
130,gangtok,0.0,IN,2019-06-30 21:06:45,78.0,27.33,88.61,14.85,1.71
131,severobaykalsk,3.0,RU,2019-06-30 21:06:45,53.0,55.65,109.32,13.05,0.62
134,khatanga,31.0,RU,2019-06-30 21:06:46,78.0,71.98,102.47,10.15,4.29
135,carballo,90.0,ES,2019-06-30 21:06:46,93.0,43.21,-8.69,18.89,2.1
136,vila franca do campo,20.0,PT,2019-06-30 21:06:46,77.0,37.72,-25.43,20.0,2.1
138,puerto ayacucho,75.0,CO,2019-06-30 21:06:46,70.0,5.66,-67.63,30.0,3.21
139,vallenar,100.0,CL,2019-06-30 21:06:47,56.0,-28.58,-70.76,14.85,2.77
140,castro,40.0,CL,2019-06-30 21:06:47,70.0,-42.48,-73.76,8.0,1.5
141,ngaoundere,87.0,CM,2019-06-30 21:06:47,93.0,7.32,13.58,19.55,1.36
143,sirjan,0.0,IR,2019-06-30 21:06:47,14.0,29.44,55.67,26.55,2.81
144,sibolga,98.0,ID,2019-06-30 21:06:48,80.0,1.74,98.78,27.45,2.91
145,yanam,100.0,IN,2019-06-30 21:06:48,87.0,16.73,82.22,25.15,6.44
148,alofi,75.0,NU,2019-06-30 21:03:08,69.0,-19.06,-169.92,25.0,5.7
149,la ronge,40.0,CA,2019-06-30 21:06:48,49.0,55.1,-105.3,21.0,8.7
150,port blair,100.0,IN,2019-06-30 21:06:49,79.0,11.67,92.75,28.65,10.62
151,vao,29.0,EE,2019-06-30 21:06:49,69.0,59.1,26.19,16.75,4.07
152,kushiro,56.0,JP,2019-06-30 21:06:49,90.0,43.11,144.15,11.95,1.78
153,lorengau,17.0,PG,2019-06-30 21:06:49,84.0,-2.02,147.27,25.75,1.47
154,guerrero negro,0.0,MX,2019-06-30 21:06:50,70.0,27.97,-114.04,21.45,8.09
155,saint-philippe,1.0,CA,2019-06-30 21:06:50,61.0,45.36,-73.48,25.0,3.1
156,kipushi,0.0,CD,2019-06-30 21:06:50,45.0,-11.76,27.24,12.65,1.61
157,kansanshi,0.0,ZM,2019-06-30 21:06:50,47.0,-12.1,26.43,12.05,1.49
158,banes,40.0,CU,2019-06-30 21:06:50,41.0,20.96,-75.72,35.0,4.6
159,mahebourg,75.0,MU,2019-06-30 21:06:51,73.0,-20.41,57.7,21.0,7.7
160,znamenskoye,48.0,RU,2019-06-30 21:06:51,88.0,57.13,73.82,12.05,0.87
161,saint-augustin,40.0,CA,2019-06-30 21:06:51,64.0,45.63,-73.98,24.44,2.6
162,wyndham,40.0,GB,2019-06-30 21:06:51,93.0,51.61,-3.54,16.67,6.2
164,upernavik,0.0,GL,2019-06-30 21:06:52,82.0,72.79,-56.15,4.75,4.09
165,union,40.0,US,2019-06-30 21:06:32,37.0,40.7,-74.26,29.0,6.7
166,iqaluit,20.0,CA,2019-06-30 21:06:52,75.0,63.75,-68.52,6.0,6.2
167,srednekolymsk,67.0,RU,2019-06-30 21:06:52,46.0,67.46,153.71,13.25,2.61
168,putatan,75.0,MY,2019-06-30 21:06:52,83.0,5.88,116.05,26.11,2.6
169,manakara,14.0,MG,2019-06-30 21:06:52,92.0,-22.14,48.01,17.65,1.11
171,yeppoon,0.0,AU,2019-06-30 21:06:53,93.0,-23.13,150.74,11.0,1.0
172,alta floresta,3.0,BR,2019-06-30 21:06:53,50.0,-9.87,-56.08,28.65,1.3
173,limbang,75.0,BN,2019-06-30 21:06:53,83.0,4.75,115.01,27.0,1.5
174,semey,0.0,KZ,2019-06-30 21:06:53,72.0,50.41,80.25,13.45,4.05
175,chuy,72.0,UY,2019-06-30 21:06:54,78.0,-33.69,-53.46,11.75,5.75
176,biltine,0.0,TD,2019-06-30 21:06:54,11.0,14.53,20.93,36.45,4.38
177,la asuncion,100.0,AR,2019-06-30 21:06:54,94.0,-26.05,-65.39,7.05,2.16
178,dingle,100.0,PH,2019-06-30 21:06:54,87.0,11.0,122.67,24.75,3.9
179,tezu,85.0,IN,2019-06-30 21:06:55,73.0,27.93,96.16,24.95,1.5
180,southbridge,20.0,US,2019-06-30 21:06:55,64.0,42.08,-72.03,24.44,4.1
181,barabai,89.0,ID,2019-06-30 21:06:55,96.0,-2.59,115.38,21.35,0.94
182,uvalde,1.0,US,2019-06-30 21:06:55,51.0,29.21,-99.79,33.89,3.6
183,sudak,0.0,UA,2019-06-30 21:03:58,70.0,44.85,34.97,14.15,4.56
184,sunndalsora,75.0,NO,2019-06-30 21:06:55,87.0,62.68,8.55,13.0,11.3
185,alihe,0.0,CN,2019-06-30 21:06:56,65.0,50.57,123.73,12.65,1.67
186,tongliao,0.0,CN,2019-06-30 21:06:56,91.0,43.61,122.27,14.75,3.27
187,sanmenxia,0.0,CN,2019-06-30 21:06:56,41.0,34.77,111.19,21.45,1.63
188,rio grande,40.0,BR,2019-06-30 21:06:56,72.0,-32.03,-52.1,16.0,3.6
189,baturaja,12.0,ID,2019-06-30 21:06:57,98.0,-4.12,104.17,21.85,1.32
190,victoria,75.0,BN,2019-06-30 21:06:57,100.0,5.28,115.24,27.0,0.5
191,bluff,0.0,AU,2019-06-30 21:06:57,75.0,-23.58,149.07,12.95,1.81
192,lilongwe,0.0,MW,2019-06-30 21:06:47,83.0,-13.97,33.79,13.45,1.21
193,san jeronimo,9.0,PE,2019-06-30 21:06:57,50.0,-13.65,-73.37,15.35,3.53
194,mujiayingzi,0.0,CN,2019-06-30 21:06:57,73.0,42.12,118.78,11.75,1.99
195,henties bay,0.0,NA,2019-06-30 21:06:58,90.0,-22.12,14.28,13.33,2.62
196,pangody,100.0,RU,2019-06-30 21:06:58,44.0,65.85,74.49,16.95,5.48
197,kruisfontein,67.0,ZA,2019-06-30 21:06:58,41.0,-34.0,24.73,16.15,3.35
198,teahupoo,75.0,PF,2019-06-30 21:06:58,61.0,-17.83,-149.27,26.0,1.5
199,port elizabeth,1.0,US,2019-06-30 21:06:59,35.0,39.31,-74.98,32.0,6.2
